cp	min_split	min_bucket	max_depth	ganancia_promedio
-1	2	1	4	37328667
-1	2	2	4	37328667
-1	2	3	4	37510667
-1	2	4	4	37510667
-1	2	5	4	37510667
-1	2	0	4	37328667
-1	4	1	4	37328667
-1	4	2	4	37328667
-1	4	3	4	37510667
-1	4	4	4	37510667
-1	4	5	4	37510667
-1	4	0	4	37328667
-1	8	1	4	37328667
-1	8	2	4	37328667
-1	8	3	4	37510667
-1	8	4	4	37510667
-1	8	5	4	37510667
-1	8	0	4	37328667
-1	10	1	4	37328667
-1	10	2	4	37328667
-1	10	3	4	37510667
-1	10	4	4	37510667
-1	10	5	4	37510667
-1	15	1	4	37328667
-1	15	2	4	37328667
-1	15	3	4	37510667
-1	15	4	4	37510667
-1	15	5	4	37510667
-1	15	7	4	37468667
-1	20	1	4	37328667
-1	20	2	4	37328667
-1	20	3	4	37510667
-1	20	4	4	37510667
-1	20	5	4	37510667
-1	20	6	4	37510667
-1	20	10	4	37286667
-1	30	1	4	37328667
-1	30	2	4	37328667
-1	30	3	4	37510667
-1	30	4	4	37510667
-1	30	5	4	37510667
-1	30	6	4	37510667
-1	30	10	4	37286667
-1	30	15	4	37286667
-1	50	1	4	37328667
-1	50	2	4	37328667
-1	50	3	4	37510667
-1	50	4	4	37510667
-1	50	5	4	37510667
-1	50	10	4	37286667
-1	50	16	4	37286667
-1	50	25	4	37263333
-1	100	1	4	37328667
-1	100	2	4	37328667
-1	100	3	4	37510667
-1	100	4	4	37510667
-1	100	5	4	37510667
-1	100	10	4	37286667
-1	100	20	4	37286667
-1	100	33	4	37230667
-1	100	50	4	38080000
-1	150	1	4	37328667
-1	150	2	4	37328667
-1	150	3	4	37510667
-1	150	4	4	37510667
-1	150	5	4	37510667
-1	150	15	4	37286667
-1	150	30	4	37249333
-1	150	50	4	38080000
-1	150	75	4	38080000
-1	200	1	4	37328667
-1	200	2	4	37328667
-1	200	3	4	37510667
-1	200	4	4	37510667
-1	200	5	4	37510667
-1	200	20	4	37286667
-1	200	40	4	38080000
-1	200	66	4	38080000
-1	200	100	4	38906000
-1	300	1	4	37328667
-1	300	2	4	37328667
-1	300	3	4	37510667
-1	300	4	4	37510667
-1	300	5	4	37510667
-1	300	30	4	37249333
-1	300	60	4	38080000
-1	300	100	4	38906000
-1	300	150	4	43782667
-1	400	1	4	37328667
-1	400	2	4	37328667
-1	400	3	4	37510667
-1	400	4	4	37510667
-1	400	5	4	37510667
-1	400	40	4	38080000
-1	400	80	4	38080000
-1	400	133	4	40376000
-1	400	200	4	49970667
-1	2	1	5	40455333
-1	2	2	5	40348000
-1	2	3	5	40338667
-1	2	4	5	40315333
-1	2	5	5	40576667
-1	2	0	5	40455333
-1	4	1	5	40455333
-1	4	2	5	40348000
-1	4	3	5	40338667
-1	4	4	5	40315333
-1	4	5	5	40576667
-1	4	0	5	40455333
