fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230903 204554	-0.288597018047585	3574	733	9	10	5	68818400	1
20230903 204637	-0.109068791984464	6461	1485	18	10	5	53237800	2
20230903 204707	-0.857465180091094	6875	3000	5	10	5	51898000	3
20230903 204745	-0.65617190481571	5879	437	7	10	5	54115600	4
20230903 204823	-0.088905092915229	7967	3053	13	10	5	52101000	5
20230903 204914	-0.203023314315942	2720	1104	15	10	5	67463200	6
20230903 204936	-0.00480549779458661	5315	766	3	10	5	53431700	7
20230903 205018	-0.873873510831618	7011	1532	20	10	5	51961700	8
20230903 205055	-0.743047298448801	1910	233	6	10	5	73900400	9
20230903 205132	-0.380941522307694	528	64	6	10	5	74315500	10
20230903 205215	-0.575449715651173	6035	1877	11	10	5	55047300	11
20230903 205256	-0.290807468730158	7472	1706	9	10	5	51935100	12
20230903 205351	-0.715637091287811	3025	665	19	10	5	70604100	13
20230903 205439	-0.959656028007157	4219	1579	18	10	5	63735000	14
20230903 205530	-0.408023000904359	5370	621	14	10	5	58314200	15
20230903 205558	0.0265089795226232	6720	1243	9	10	5	0	16
20230903 205635	-0.529806785165391	1206	158	6	10	5	73343200	17
20230903 205715	-0.388754479456547	2039	307	7	10	5	74728500	18
20230903 205807	-0.52500032661716	1715	278	10	10	5	74613000	19
20230903 205903	-0.419373901836743	1775	886	16	10	5	66451000	20
20230903 205950	-0.620383337291432	2704	481	9	10	5	72077600	21
20230903 210041	-0.261534406308216	1126	154	9	10	5	72269400	22
20230903 210137	-0.79890910481663	10	2	10	10	5	63259000	23
20230903 210211	-0.315046117894644	1644	587	5	10	5	70384300	24
20230903 210307	-0.651878561481024	2152	42	10	10	5	70846300	25
20230903 210359	-0.561520326206746	778	341	9	10	5	71262100	26
20230903 210449	-0.381811992062845	1859	925	10	10	5	66465000	27
20230903 210513	-0.268832590270418	3161	1	3	10	5	56141400	28
20230903 210555	-0.552005912342002	1687	7	7	10	5	71649900	29
20230903 210703	-0.237808227946528	1109	341	18	10	5	71124200	30
20230903 210835	-0.597287136000222	285	2	18	10	5	60204900	31
20230903 210905	-0.773705378285863	178	89	4	10	5	66327100	32
20230903 211004	-0.752956720461314	2209	717	13	10	5	70974400	33
20230903 211058	-0.273954103858644	3221	1609	20	10	5	65088800	34
20230903 211149	-0.477256708421758	2358	146	9	10	5	72520000	35
20230903 211251	-0.559847024567929	2071	386	14	10	5	74979800	36
20230903 211355	-0.299494683221565	1570	406	13	10	5	74127900	37
20230903 211500	-0.999858072296677	2689	424	16	10	5	71891400	38
20230903 211524	0.0992541099044552	740	49	3	10	5	0	39
20230903 211602	-0.952126512804795	2393	633	6	10	5	71003100	40
20230903 211640	-0.139958393910576	4030	680	6	10	5	67657800	41
20230903 211743	-0.83698359297835	2154	451	15	10	5	73280200	42
20230903 211829	-0.201208025832941	5284	2374	20	10	5	58175600	43
20230903 211857	-0.949162884720113	2633	64	3	10	5	59915100	44
20230903 211955	-0.9997887747117	1918	944	20	10	5	66775800	45
20230903 212053	-0.371872718763735	1247	209	11	10	5	71971200	46
20230903 212119	-0.104319312742662	7844	3920	3	10	5	53046700	47
20230903 212155	-0.843855131706952	2795	1397	5	10	5	66106600	48
20230903 212243	-0.413248583368319	510	254	7	10	5	73201100	49
