fecha	minsplit	minbucket	maxdepth	corte	cp	ganancia	iteracion
20230904 044405	822	244	10	9421	-1	50.81959	1
20230904 044451	1476	282	8	8963	-1	50.23626	2
20230904 044907	1130	454	6	8642	-1	51.47292	3
20230904 044949	1347	502	9	9711	-1	49.67627	4
20230904 045038	1079	235	7	9212	-1	50.53959	5
20230904 045116	1400	492	10	8094	-1	49.37294	6
20230904 045155	1456	420	6	8234	-1	51.14626	7
20230904 045248	1112	245	9	8409	-1	47.13295	8
20230904 045322	1036	260	12	8706	-1	54.59956	9
20230904 045441	1377	647	7	9125	-1	50.93626	10
20230904 045801	1203	351	11	9520	-1	49.16294	11
20230904 210138	593	217	11	8756	-1	54.4829	12
20230904 210211	757	370	10	8357	-1	52.19625	13
20230904 210244	1388	539	11	8881	-1	49.58294	14
20230904 210322	1104	430	8	9346	-1	51.61292	15
20230904 210403	1166	248	8	8756	-1	47.57628	16
20230904 210440	771	237	12	8701	-1	52.66291	17
20230904 210511	988	270	12	8918	-1	53.19957	18
20230904 210543	1142	256	12	8924	-1	49.18627	19
20230904 210617	1034	338	12	9336	-1	53.45624	20
20230904 210649	625	229	11	8674	-1	53.19957	21
20230904 210735	1026	209	12	8536	-1	57.49287	22
20230904 210808	1022	200	12	9159	-1	56.53621	23
20230904 210851	1023	202	12	8093	-1	58.05287	24
20230904 210924	1022	200	11	8003	-1	57.67954	25
20230904 211000	1028	200	12	8012	-1	57.56287	26
20230904 211041	1016	200	12	8172	-1	58.51953	27
20230904 211111	1007	200	6	8241	-1	51.49625	28
20230904 211150	1009	200	12	8088	-1	58.05287	29
20230904 211223	579	270	7	8854	-1	53.9929	30
20230906 000646	1015	200	12	8304	-1	57.5862	31
20230906 000731	1016	217	12	8168	-1	58.75286	32
20230906 000806	1015	235	12	8154	-1	53.45624	33
20230906 000841	1015	212	12	8181	-1	58.70619	34
20230906 000925	1018	215	11	8195	-1	58.6362	35
20230906 001009	1022	215	12	8178	-1	58.70619	36
20230906 001051	1012	217	12	8780	-1	56.51288	37
20230906 001119	995	216	12	8180	-1	58.70619	38
20230906 001151	1011	215	12	8200	-1	58.58953	39
20230906 001241	995	209	11	8165	-1	58.77619	40
